02912	28806023	com	Open COM3 @ 115200 baud Ctrl-X (UsbSerial)
02913	28806028	tx	[18]
02914	28806030	tx	[3F]
02915	28806284	tx	[3F]
02916	28806532	tx	[3F]
02917	28806666	rx	\r
02918	28806666	rx	Grbl 1.1h ['$' for help]\r
02919	28806782	tx	[3F]
02920	28806790	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
02921	28807033	tx	[3F]
02922	28807040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
02923	28807282	tx	[3F]
02924	28807288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02925	28807293	tx	$$\n
02926	28807297	rx	$0=10\r
02927	28807297	rx	$1=25\r
02928	28807298	rx	$2=0\r
02929	28807298	rx	$3=0\r
02930	28807298	rx	$4=0\r
02931	28807300	rx	$5=0\r
02932	28807300	rx	$6=0\r
02933	28807300	rx	$10=1\r
02934	28807301	rx	$11=0.010\r
02935	28807303	rx	$12=0.002\r
02936	28807303	rx	$13=0\r
02937	28807303	rx	$20=0\r
02938	28807303	rx	$21=0\r
02939	28807305	rx	$22=0\r
02940	28807306	rx	$23=0\r
02941	28807306	rx	$24=25.000\r
02942	28807308	rx	$25=500.000\r
02943	28807308	rx	$26=250\r
02944	28807309	rx	$27=1.000\r
02945	28807311	rx	$30=255\r
02946	28807311	rx	$31=0\r
02947	28807311	rx	$32=0\r
02948	28807311	rx	$100=100.000\r
02949	28807314	rx	$101=100.000\r
02950	28807314	rx	$102=250.000\r
02951	28807316	rx	$110=1000.000\r
02952	28807317	rx	$111=1000.000\r
02953	28807319	rx	$112=500.000\r
02954	28807319	rx	$120=100.000\r
02955	28807322	rx	$121=100.000\r
02956	28807322	rx	$122=10.000\r
02957	28807322	rx	$130=200.000\r
02958	28807326	rx	$131=200.000\r
02959	28807326	rx	$132=200.000\r
02960	28807326	rx	ok\r
02961	28807337	tx	$I\n
02962	28807341	rx	[VER:1.1h.20190830:]\r
02963	28807343	rx	[OPT:V,15,128]\r
02964	28807344	rx	ok\r
02965	28807533	tx	[3F]
02966	28807538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02967	28807782	tx	[3F]
02968	28807787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02969	28808033	tx	[3F]
02970	28808038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02971	28808282	tx	[3F]
02972	28808287	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02973	28808533	tx	[3F]
02974	28808538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02975	28808783	tx	[3F]
02976	28808788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02977	28809032	tx	[3F]
02978	28809038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02979	28809283	tx	[3F]
02980	28809291	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
02981	28809533	tx	[3F]
02982	28809540	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
02983	28809782	tx	[3F]
02984	28809788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02985	28810033	tx	[3F]
02986	28810038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02987	28810283	tx	[3F]
02988	28810288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02989	28810533	tx	[3F]
02990	28810538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02991	28810782	tx	[3F]
02992	28810792	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02993	28811032	tx	[3F]
02994	28811038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02995	28811283	tx	[3F]
02996	28811288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02997	28811533	tx	[3F]
02998	28811538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
02999	28811782	tx	[3F]
03000	28811790	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
03001	28812033	tx	[3F]
03002	28812040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
03003	28812283	tx	[3F]
03004	28812288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
03005	28812533	tx	[3F]
03006	28812538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04279	28971800	tx	[3F]
04280	28971807	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04281	28972032	tx	[3F]
04282	28972040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04283	28972284	tx	[3F]
04284	28972290	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04285	28972532	tx	[3F]
04286	28972537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04287	28972782	tx	[3F]
04288	28972788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04289	28973033	tx	[3F]
04290	28973039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04291	28973283	tx	[3F]
04292	28973289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04293	28973534	tx	[3F]
04294	28973539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04295	28973782	tx	[3F]
04296	28973788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04297	28974032	tx	[3F]
04298	28974038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04299	28974283	tx	[3F]
04300	28974290	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04301	28974534	tx	[3F]
04302	28974541	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04303	28974783	tx	[3F]
04304	28974788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04305	28975033	tx	[3F]
04306	28975038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04307	28975282	tx	[3F]
04308	28975288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04309	28975533	tx	[3F]
04310	28975538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04311	28975782	tx	[3F]
04312	28975788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04313	28976033	tx	[3F]
04314	28976038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04315	28976284	tx	[3F]
04316	28976292	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04317	28976533	tx	[3F]
04318	28976539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04319	28976783	tx	[3F]
04320	28976791	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04321	28977032	tx	[3F]
04322	28977040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04323	28977282	tx	[3F]
04324	28977293	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04325	28977532	tx	[3F]
04326	28977537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04327	28977783	tx	[3F]
04328	28977789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04329	28978033	tx	[3F]
04330	28978039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04331	28978284	tx	[3F]
04332	28978291	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04333	28978534	tx	[3F]
04334	28978539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04335	28978785	tx	[3F]
04336	28978796	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04337	28979032	tx	[3F]
04338	28979037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04339	28979282	tx	[3F]
04340	28979297	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04341	28979533	tx	[3F]
04342	28979541	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04343	28979784	tx	[3F]
04344	28979801	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04345	28980033	tx	[3F]
04346	28980039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04347	28980282	tx	[3F]
04348	28980291	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04349	28980533	tx	[3F]
04350	28980539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04351	28980783	tx	[3F]
04352	28980788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04353	28981034	tx	[3F]
04354	28981039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04355	28981282	tx	[3F]
04356	28981287	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04357	28981533	tx	[3F]
04358	28981538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04359	28981782	tx	[3F]
04360	28981789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
